processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BARGN324-16	MACN-Or-ct 6101	7196995	MACN-Or 72650		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788		Vouchered:Registered Collection			D`Angelo, Luciana								M	S						-32.782	-56.0192	Coordinates from country centroid						Uruguay		Durazno Department, Sarandi del Yi		Estancia Maria									
BISE002-07	BISE-Aves2	634097	NRM966302		Swedish Museum of Natural History		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758												A	F	S						65.6014	22.1587							Sweden	Gavleborg	Halsingland	SODERHAMN, E4;ALSJON	E 4:AN STRAX S ALSJON, SODERHAMN									
BISE073-07	BISE-Aves88	634168	NRM20006304		Swedish Museum of Natural History		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758												A	F	S						66.6524	23.7923							Sweden	Norrbotten	Norrbotten		Pullinki, Svanstein									
BISE387-08	BISE-Aves403	816938	NRM996268		Swedish Museum of Natural History		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758												A	F	S						59.3616	15.235							Sweden	Orebro	Pa banvallen mellan Hovsta och Ervalla vid Kvinnerstatorp.	Hovsta, Kvinnerstatorp.										
BJNSM580-10	NSMT-DNA8246	1368933		KUS4	Kushiro-Shitsugen Wildlife Center		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Isao Nishiumi														A	F	S						43.078	142.838							Japan	Hokkaido-chiho	Tokachi-shicho	Nakagawa-gun, Shintoku-cho										
BJNSM584-10	NSMT-DNA8250	1368937		KUS8	Kushiro-Shitsugen Wildlife Center		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Isao Nishiumi															M	S						43.329	145.582							Japan	Hokkaido-chiho	Nemuro-shicho	Nemuro-shi										
BJNSM617-10	NSMT-DNA9256	1368970		KUS11	Kushiro-Shitsugen Wildlife Center		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Isao Nishiumi														A		S														Japan	Hokkaido-chiho	Nemuro-shicho	Nemuro-shi										
BJNSM622-10	NSMT-DNA9262	1368975		KUS17	Kushiro-Shitsugen Wildlife Center		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo			Isao Nishiumi		Linnaeus, 1758												I		S														Japan	Hokkaido-chiho	Nemuro-shicho	Menashi-gun, Rausu-cho										
BJNSM812-11	NSMT-DNA50383	2006700	NSMT-A17858	2010.301	National Museum of Nature and Science, Tokyo		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Isao Nishiumi														A	F							43.167	143.241							Japan	Hokkaido-chiho	Nemuro, Shibetsu											
BJNSM813-11	NSMT-DNA50384	2006701	NSMT-A17859	2010.302	National Museum of Nature and Science, Tokyo		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Isao Nishiumi														A	M							43.366	143.191							Japan	Hokkaido-chiho	Nemuro, Shibetsu											
